#scorer,score,Average,min,stdev,max,weight
#DummyScore,betaCount,21,0,26.686799999999998,375,
DummyScore,betaCountInverse,0.033,0,0.0385476,1,0.5
#DummyScore,mgxRank,8,0,7.412999999999999,100,
DummyScore,mgcScore,57.79187216839178,-0,42.7142529713388,760.0023785324998,2
DummyScore,mgcDelta,-14.34893098169789,-369.28312686629215,42.466356472246076,719.1166319386696,2
DummyScore,mgcShiftedDelta,57.790985386574235,-20.756668762015956,42.71504898987465,760.0023785324998,1
#DummyScore,mgcAlpha,51.29408265430893,-0,41.02671956293952,743.7469247408213,
DummyScore,mgcBeta,5.7098347147569894,-0,7.657491715606981,149.1764033433935,2.8
DummyScore,mgxScore,4.619,-0,6.8481293999999995,374.886891448902,2
DummyScore,mgxDelta,-11.33884209491502,-293.7988142819354,19.060273603515906,264.0854449347346,1.5
#DummyScore,delta,0.11800000000000001,-0.2607664973727935,0.1467774,11.957967035680491,
#DummyScore,deltaMod,0.07,-0.2607664973727935,0.103782,11.957967035680491,
#DummyScore,combinedDelta,1.716,-0.2607664973727935,0.5055666,12.900336951511356,
#Error,Precoursor Error,-0.064,-5.994778082763823,3.6308874,5.995590264352328,
#Error,Precoursor Absolute Error,2.488,1.5218539691723523E-06,2.216487,5.995590264352328,
#Error,PrecoursorAbsoluteErrorRelative,0.47400000000000003,2.5364232819539204E-07,0.3869586,0.9992650440587212,
Error,1-ErrorRelative,0.526,0.0007349559412788143,0.3869586,0.9999997463576719,3
#Error,AverageMS2Error,4.079,0.00017537131491168338,1.955549399999999,9999999,
#Error,MeanSquareError,21.676000000000002,3.0755098093852823E-08,31.0708482,9999999,
#Error,MeanSquareRootError,5.8500000000000005,0.00017537131491168338,2.6805407999999997,19.985336431451337,
#Error,AverageRelativeMS2Error,0.248,8.768565745584169E-06,0.12453839999999998,2,
Error,Average1-RelativeMS2Error,0.752,-1,0.12453839999999994,0.9999912314342544,1
#FragmentChargeState,MaxCharge,3,0,1.4826,7,
#FragmentChargeState,AverageCharge,1.389,0,0.4121628,6.333333333333333,
#FragmentChargeState,RelativeMaxCharge,0.667,0,0.24759420000000004,1,
#FragmentChargeState,RelativeAverageCharge,0.373,0,0.06523439999999997,1,
#FragmentCoverage,total fragment matches,5,0,4.4478,62,
#FragmentCoverage,lossy fragment matches,5,0,4.4478,55,
#FragmentCoverage,fragment matched,7,0,4.4478,55,
FragmentCoverage,fragment coverage,0.25,0,0.13639920000000003,1,1
#FragmentCoverage,fragment non lossy matched,5,0,4.4478,49,
FragmentCoverage,fragment non lossy coverage,0.156,0,0.10822979999999999,1,2
#FragmentCoverage,fragment lossy matched,4,0,2.9652,35,
#FragmentCoverage,fragment lossy coverage,0.147,0,0.11119500000000002,1,
