#ScoreGroup, name,average,stdev,min,max, weight
FragmentCoverage, fragment matched%, 0.4449499289313097, 0.18925883617202158,0.0,1.0,1
FragmentCoverage, non lossy matched%, 0.350117889237973, 0.16507135767053008,0.0,1.0,2
FragmentCoverage, lossy matched%, 0.3269049483711762, 0.19029218643100773,0.0,1.0,0.5
FragmentCoverage, fragment matched conservative%, 0.4449451960899316, 0.18926319255015348,0.0,1.0,2
FragmentCoverage, peptide1_fragment matched%, 0.3821071350743185, 0.22230052336613257,0.0,1.5714285714285714,0.2
FragmentCoverage, peptide1_non lossy matched%, 0.293813917990555, 0.1856359951311848,0.0,1.2857142857142858,0.4
FragmentCoverage, peptide1_lossy matched%, 0.28870846797301203, 0.210035368506662,0.0,1.4285714285714286,0.1
FragmentCoverage, peptide1_fragment matched conservative%, 0.3821230301302193, 0.22230047456078467,0.0,1.5714285714285714,0.5
FragmentCoverage, peptide2_fragment matched%, 0.26302311754071916, 0.17663026084169403,0.0,1.0,0.2
FragmentCoverage, peptide2_non lossy matched%, 0.21004956584894974, 0.15333562105250514,0.0,1.0,0.4
FragmentCoverage, peptide2_lossy matched%, 0.19168606960545254, 0.16523811784839465,0.0,1.0,0.1
FragmentCoverage, peptide2_fragment matched conservative%, 0.26302220190824815, 0.17662973597585063,0.0,1.0,0.5
FragmentLibraryScore, FragmentLibraryScore, 0.999152114892657, 0.028667420174047584,0.0,1.0,
FragmentLibraryScore, FragmentLibraryScoreMod, 0.7577160055157285, 0.04040638631840519,-0.0,0.8350594038273254,
FragmentLibraryScore, FragmentLibraryScoreExponential, 0.9971525774002831, 0.03654033105528582,3.7200759760208356E-44,1.0,2
SpectraCoverage, spectra matched%, 0.34278344782156067, 0.19886485068998477,0.0,0.9823468978141424,2
SpectraCoverage, spectra isotop%, 0.8035173203637931, 0.13104711611545022,0.0,0.9852512142052617,0.1
SpectraCoverage, spectra matched isotop%, 0.333632593162789, 0.21753717835666989,0.0,1.0,2
SpectraCoverage, spectra matched single%, 0.3703774593126875, 0.1829979326941603,0.0,0.9616732741753029,0.5
SpectraCoverageConservative, SpectraCoverageConservative, 0.15317425689295625, 0.14178051280636483,0.0,0.9268030471916742,3
SpectraCoverage, spectra top10 matched%, 0.2477547727883844, 0.18231780722725535,0.0,1.0,3
SpectraCoverage, spectra top20 matched%, 0.05916689093755652, 0.07761454958701935,0.0,0.6,2
SpectraCoverage, spectra top40 matched%, 0.04146987689306146, 0.05790022085640105,0.0,0.5,1
SpectraCoverage, spectra top100 matched%, 0.023763868267033236, 0.03591525263691935,0.0,0.26,0.5
SpectraCoverage, spectra peak matched%, 0.14522143241286992, 0.08223347884653341,0.014367816091954023,0.6101694915254238,1
Error,1-ErrorRelative,0.54051232431502,0.30353320021059,0.00197107448849,0.99994681234147,2
Error,Average1-RelativeMS2Error,0.6430820176980669, 0.09150823909560894,0.09843503367522732,0.9976657332727109,1
BS3ReporterIonScore, BS3ReporterIonScore, 11.753537313390797, 11.81584060490816,-0.6918837565131746,65.04976573464944,1
DummyScore, mgcShiftedDelta, 53.681144143446254, 20.02946951528395,12.864798751554657,265.24596118080865,2

DummyScore, mgcScore, 45.73739876834508, 30.654791909798288,2.9373966965410276,135.21079967482945, 0.5
#DummyScore, mgcDelta, 15.648248380466484, 33.95831805686926,-102.24198650084561,135.21079967482945,
DummyScore, mgcAlpha, 25.454778669692445, 20.55767161042306,2.9373966965410276,114.00288392537782, 0.1
DummyScore, mgcBeta, 20.28262009865257, 17.407209160492776,-0.0,92.3844120053239, 0.2
DummyScore, mgxScore, 24.66559045428178, 12.67012062595666,-0.0,80.92871023573616, 1
DummyScore, mgxDelta, 4.723484303889428, 10.635555604200668,-46.51526712361949,78.15612151349639, 0.2


